case	hypothesis	actual	note	output
jsgap01_source_custom_loadclass	loadclass-with-equals-should-pass	PASS	source.customSourceFunc accepts class type values	[]
jsgap02_source_custom_string	string-should-fail	FAIL	source.customSourceFunc rejects plain strings and expects class type	[{"template_key":"stae-ts-24","default_template":"Line {}, Column {}: the value should be class type","type":"error","values":["2","4"]}]
jsgap03_source_custom_pluseq_loadclass	loadclass-with-pluseq-should-pass	PASS	source.customSourceFunc also accepts += loadclass	[]
jsgap04_sink_custom_loadclass	sink-loadclass-should-fail	FAIL	sink.customSinkFunc is string-valued, not class-valued	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","sink.customSinkFunc"]}]
jsgap05_sink_custom_string	sink-string-should-pass	PASS	sink.customSinkFunc accepts string assignment	[]
jsgap06_sanitizer_custom_loadclass	sanitizer-loadclass-should-fail	FAIL	sanitizer.customSanitizerFunc is string-valued, not class-valued	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","sanitizer.customSanitizerFunc"]}]
jsgap07_sanitizer_custom_string	sanitizer-string-should-pass	PASS	sanitizer.customSanitizerFunc accepts string assignment	[]
jsgap08_sink_function_arg	block-should-fail	FAIL	sink.functionArg is not a block field in JS	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","sink.functionArg"]}]
jsgap09_sanitizer_param_decorator	block-should-fail	FAIL	sanitizer.paramDecorator is not a block field in JS	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","sanitizer.paramDecorator"]}]
jsgap10_group_custom_source_loadclass	group-loadclass-should-pass	PASS	group can contain source.customSourceFunc loadclass entries	[]
jsgap11_general_scan_all_files	bare-bool-should-fail	FAIL	JS general.* rejects bare boolean literals	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","general.scanAllFiles"]}]
jsgap12_sink_function_arg_string	string-should-pass	PASS	sink.functionArg is a JS string field	[]
jsgap13_sanitizer_param_decorator_string	string-should-pass	PASS	sanitizer.paramDecorator is a JS string field	[]
jsgap14_sink_custom_string_pluseq	pluseq-string-should-pass	PASS	sink.customSinkFunc supports += string as well as = string	[]
jsgap15_sanitizer_custom_string_pluseq	pluseq-string-should-pass	PASS	sanitizer.customSanitizerFunc supports += string as well as = string	[]
jsgap16_source_custom_string_pluseq	pluseq-string-should-fail	FAIL	source.customSourceFunc remains class-valued even under +=	[{"template_key":"stae-ts-24","default_template":"Line {}, Column {}: the value should be class type","type":"error","values":["2","4"]}]
jsgap17_source_custom_double_loadclass	repeat-pluseq-loadclass-should-pass	PASS	source.customSourceFunc accepts multiple += loadclass entries at verify level	[]
jsgap18_general_scan_all_files_string	string-should-pass	PASS	JS general.* accepts string assignments where bare bool fails	[]
jsgap19_general_desc_string	string-should-pass	PASS	general.desc also passes with string value	[]
jsgap20_general_scan_all_files_pluseq_string	pluseq-string-should-pass	PASS	general.* also accepts += string assignments	[]
jsgap21_general_not_real_string	unknown-general-string-also-passes	PASS	JS verify is permissive on string-valued general.* names	[]
jsgap22_general_taint_only_summary_string	known-looking-general-string-passes	PASS	specific Java-style general field also passes in JS when string-valued	[]
jsgap23_general_handle_poly_string	known-looking-general-string-passes	PASS	general.handlePolymorphism passes as string	[]
jsgap24_general_poly_num_string	numeric-looking-general-string-passes	PASS	general.polyHandleNum passes only as string	[]
jsgap25_general_poly_num_number	bare-number-should-fail	FAIL	JS general.* rejects bare numeric literals	[{"template_key":"stae-ts-43","default_template":"Line {}, Column {}: custom define config: {} can only be string value","type":"error","values":["2","4","general.polyHandleNum"]}]
jsgap26_group_general_scan_all_files_string	group-general-should-fail	FAIL	group rejects general.* even when top-level roster accepts string general.*	[{"template_key":"stae-ts-41","default_template":"Line {}, Column {}: cannot find config by name or cannot define custom config in group ,config name:{}","type":"error","values":["4","8","general.scanAllFiles"]}]
jsgap27_sink_function_arg_pluseq_string	pluseq-string-should-pass	PASS	sink.functionArg supports += string	[]
jsgap28_sanitizer_param_decorator_pluseq_string	pluseq-string-should-pass	PASS	sanitizer.paramDecorator supports += string	[]
